geo\TIME_PERIOD,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AT,32376.00,33570.00,34548.00,35971.00,36802.00,37220.00,37970.00,39105.00,40037.00,40927.00,41868.00,42876.00,43579.00,44646.00,45727.00,46460.00,48166.00,50741.00,54508.00
BE,35009.00,36327.00,37244.00,38783.00,39019.00,39696.00,41256.00,42567.00,43435.00,43898.00,44132.00,45076.00,45364.00,46422.00,47550.00,46543.00,49696.00,53418.00,57989.00
BG,2681.00,2797.00,3247.00,3678.00,4067.00,4567.00,4866.00,5266.00,5704.00,6025.00,6374.00,6767.00,7418.00,8127.00,8699.00,9299.00,10345.00,11880.00,13503.00
CY,19086.00,19899.00,20012.00,20665.00,21687.00,22222.00,22645.00,22976.00,21594.00,20947.00,20699.00,20759.00,21124.00,21472.00,22397.00,22342.00,23552.00,25338.00,26430.00
CZ,8310.00,9216.00,9986.00,11716.00,11118.00,12040.00,12688.00,12670.00,12260.00,11916.00,12396.00,13141.00,14542.00,16137.00,17375.00,17222.00,18875.00,21370.00,23454.00
DE,31347.00,31999.00,32468.00,33472.00,33582.00,34449.00,35718.00,36751.00,37739.00,38692.00,39970.00,40902.00,42050.00,43340.00,44827.00,44377.00,45727.00,47731.00,50998.00
DK,43085.00,44857.00,46224.00,48117.00,50036.00,51665.00,52512.00,53817.00,54513.00,56005.00,56914.00,57612.00,58715.00,59519.00,60195.00,61392.00,63003.00,65168.00,67604.00
EE,6831.00,7853.00,9866.00,10820.00,10472.00,10827.00,11086.00,11740.00,12382.00,13112.00,13639.00,14540.00,15543.00,17086.00,18437.00,19238.00,21120.00,22944.00,24899.00
ES,21505.00,22153.00,23176.00,24836.00,26169.00,26453.00,26589.00,26482.00,26705.00,26701.00,27175.00,27062.00,27146.00,27426.00,28176.00,27844.00,29383.00,30867.00,32587.00
FI,30922.00,31958.00,33003.00,34359.00,35380.00,36861.00,38050.00,39086.00,39652.00,40190.00,40544.00,40985.00,41520.00,42321.00,43483.00,43805.00,45351.00,46621.00,48391.00
FR,29248.00,30123.00,30873.00,31662.00,32279.00,33303.00,33879.00,34517.00,35169.00,35447.00,35837.00,36220.00,37079.00,37583.00,38305.00,36800.00,38862.00,40823.00,42662.00
HR,12411.00,12873.00,13530.00,14340.00,14132.00,14573.00,14776.00,14711.00,14556.00,13705.00,13897.00,14215.00,14411.00,15115.00,15640.00,15661.00,16501.00,18546.00,21523.00
HU,8997.00,8879.00,9889.00,10610.00,9372.00,10044.00,10381.00,10246.00,10027.00,9621.00,9735.00,9916.00,11048.00,11633.00,12658.00,12270.00,13137.00,14384.00,16895.00
IE,36379.00,37694.00,39984.00,42228.00,42608.00,42332.00,44130.00,44314.00,43847.00,44195.00,44667.00,45629.00,46719.00,48211.00,50194.00,51100.00,52638.00,54312.00,58679.00
IT,24802.00,25634.00,26233.00,27046.00,27174.00,27783.00,28241.00,28079.00,28496.00,28716.00,29083.00,29299.00,29426.00,29786.00,30194.00,28815.00,30719.00,31847.00,32749.00
LT,5879.00,7117.00,8020.00,9069.00,8232.00,8354.00,8926.00,9350.00,9801.00,10214.00,10775.00,11440.00,12534.00,13486.00,18337.00,19476.00,21720.00,24294.00,27178.00
LU,47703.00,49544.00,51991.00,53321.00,53607.00,54797.00,56881.00,57793.00,59332.00,60639.00,61396.00,62037.00,64316.00,65570.00,66702.00,67748.00,71548.00,75409.00,81064.00
LV,5604.00,6831.00,9206.00,10848.00,9434.00,8880.00,9114.00,9919.00,10319.00,11212.00,12075.00,12937.00,13828.00,14833.00,15491.00,15887.00,17018.00,19187.00,22293.00
MT,14979.00,15779.00,16334.00,17107.00,17430.00,18435.00,19271.00,19905.00,20545.00,21389.00,22488.00,23169.00,24072.00,25868.00,26853.00,27016.00,28172.00,29408.00,29989.00
PL,7520.00,7961.00,8673.00,10250.00,8557.00,10140.00,10374.00,10429.00,10556.00,10827.00,11076.00,11127.00,12065.00,13057.00,13640.00,13862.00,14106.00,15488.00,18054.00
PT,14873.00,15100.00,15689.00,16099.00,16519.00,16750.00,16653.00,16230.00,16624.00,16379.00,16451.00,16743.00,17116.00,17601.00,18518.00,18860.00,19851.00,21131.00,22933.00
RO,4226.00,4871.00,5392.00,6864.00,5689.00,6080.00,6213.00,6094.00,6402.00,6812.00,7051.00,8016.00,8986.00,11337.00,12437.00,12681.00,13245.00,15064.00,17739.00
SE,32868.00,34219.00,35702.00,36213.00,33642.00,38342.00,41691.00,44359.00,45380.00,44097.00,43953.00,44332.00,44559.00,43003.00,43073.00,44214.00,47301.00,46436.00,44619.00
SI,16662.00,17515.00,18601.00,20017.00,20428.00,21413.00,21667.00,21268.00,21387.00,21752.00,22098.00,22834.00,23718.00,24525.00,25700.00,26610.00,28654.00,30245.00,33081.00
SK,6194.00,6981.00,8411.00,9582.00,10309.00,10872.00,11190.00,11431.00,11702.00,11928.00,12370.00,12725.00,13317.00,13997.00,14857.00,15346.00,16242.00,17286.00,19001.00
AT,32376.00,33570.00,34548.00,35971.00,36802.00,37220.00,37970.00,39105.00,40037.00,40927.00,41868.00,42876.00,43579.00,44646.00,45727.00,46460.00,48166.00,50741.00,54508.00
BE,35009.00,36327.00,37244.00,38783.00,39019.00,39696.00,41256.00,42567.00,43435.00,43898.00,44132.00,45076.00,45364.00,46422.00,47550.00,46543.00,49696.00,53418.00,57989.00
BG,5244.00,5470.00,6351.00,7192.00,7954.00,8933.00,9516.00,10299.00,11155.00,11784.00,12467.00,13235.00,14508.00,15894.00,17013.00,18187.00,20233.00,23234.00,26409.00
